job-core	Checkout code	2025-10-07T13:26:02.7662781Z ##[group]Determining the checkout info
job-core	Checkout code	2025-10-07T13:26:02.7664141Z ##[endgroup]
job-core	Checkout code	2025-10-07T13:26:02.7672200Z [command]/usr/bin/git sparse-checkout disable
job-core	Checkout code	2025-10-07T13:26:02.8347950Z [command]/usr/bin/git config --local --unset-all extensions.worktreeConfig
job-core	Checkout code	2025-10-07T13:26:02.8404567Z ##[group]Checking out the ref
job-core	Checkout code	2025-10-07T13:26:02.8411169Z [command]/usr/bin/git checkout --progress --force -B main refs/remotes/origin/main
job-core	Checkout code	2025-10-07T13:26:02.8772600Z Previous HEAD position was adf1a671 [Ka0S] Inspector uploading resume execution files to the repository...
job-core	Checkout code	2025-10-07T13:26:02.8845799Z Switched to a new branch 'main'
job-core	Checkout code	2025-10-07T13:26:02.8846831Z branch 'main' set up to track 'origin/main'.
job-core	Checkout code	2025-10-07T13:26:02.8848860Z ##[endgroup]
job-core	Checkout code	2025-10-07T13:26:02.8949112Z [command]/usr/bin/git log -1 --format=%H
job-core	Checkout code	2025-10-07T13:26:02.8998130Z f4deb8ed7f8d5eae8da72fb199efba5acfa17086
job-core	Login to Docker Hub	﻿2025-10-07T13:26:02.9924491Z ##[group]Run docker/login-action@v3
job-core	Login to Docker Hub	2025-10-07T13:26:02.9925069Z with:
job-core	Login to Docker Hub	2025-10-07T13:26:02.9925592Z   username: ***
job-core	Login to Docker Hub	2025-10-07T13:26:02.9926031Z   password: ***
job-core	Login to Docker Hub	2025-10-07T13:26:02.9926363Z   logout: true
job-core	Login to Docker Hub	2025-10-07T13:26:02.9926666Z env:
job-core	Login to Docker Hub	2025-10-07T13:26:02.9927430Z   GITHUB_TOKEN: ***
job-core	Login to Docker Hub	2025-10-07T13:26:02.9927830Z   KAOS_MODULE: [Ka0s] Personalized Image Runners
job-core	Login to Docker Hub	2025-10-07T13:26:02.9928312Z   KAOS_CODE: 18314209402
job-core	Login to Docker Hub	2025-10-07T13:26:02.9928700Z   KAOS_PATH_SCAN: audit/scan/
job-core	Login to Docker Hub	2025-10-07T13:26:02.9929097Z ##[endgroup]
job-core	Login to Docker Hub	2025-10-07T13:26:03.6702391Z Logging into docker.io...
job-core	Login to Docker Hub	2025-10-07T13:26:04.7877889Z Login Succeeded!
job-core	Build image	﻿2025-10-07T13:26:04.8229998Z ##[group]Run # Construimos la imagen
job-core	Build image	2025-10-07T13:26:04.8231447Z [36;1m# Construimos la imagen[0m
job-core	Build image	2025-10-07T13:26:04.8233259Z [36;1msudo docker build -t actions-runner:1.0.1 -f core/runner/actions-runner//1.0.1//Dockerfile . || true[0m
job-core	Build image	2025-10-07T13:26:04.8235339Z [36;1mecho "Se ha generado la imagen actions-runner:1.0.1...."[0m
job-core	Build image	2025-10-07T13:26:04.8236784Z [36;1msudo usermod -aG docker runner [0m
job-core	Build image	2025-10-07T13:26:04.8260222Z shell: /usr/bin/bash -e {0}
job-core	Build image	2025-10-07T13:26:04.8261328Z env:
job-core	Build image	2025-10-07T13:26:04.8263364Z   GITHUB_TOKEN: ***
job-core	Build image	2025-10-07T13:26:04.8264420Z   KAOS_MODULE: [Ka0s] Personalized Image Runners
job-core	Build image	2025-10-07T13:26:04.8265634Z   KAOS_CODE: 18314209402
job-core	Build image	2025-10-07T13:26:04.8266655Z   KAOS_PATH_SCAN: audit/scan/
job-core	Build image	2025-10-07T13:26:04.8267805Z ##[endgroup]
job-core	Build image	2025-10-07T13:26:05.2722781Z #0 building with "default" instance using docker driver
job-core	Build image	2025-10-07T13:26:05.2724006Z 
job-core	Build image	2025-10-07T13:26:05.2726133Z #1 [internal] load build definition from Dockerfile
job-core	Build image	2025-10-07T13:26:05.2728558Z #1 transferring dockerfile: 1.69kB done
job-core	Build image	2025-10-07T13:26:05.2731372Z #1 DONE 0.0s
job-core	Build image	2025-10-07T13:26:05.2732229Z 
job-core	Build image	2025-10-07T13:26:05.2733779Z #2 [internal] load metadata for ghcr.io/actions/actions-runner:latest
job-core	Build image	2025-10-07T13:26:06.0394628Z #2 DONE 0.9s
job-core	Build image	2025-10-07T13:26:06.1775472Z 
job-core	Build image	2025-10-07T13:26:06.1780539Z #3 [internal] load .dockerignore
job-core	Build image	2025-10-07T13:26:06.1831869Z #3 transferring context: 2B done
job-core	Build image	2025-10-07T13:26:06.1832881Z #3 DONE 0.0s
job-core	Build image	2025-10-07T13:26:06.1833175Z 
